rush_yd,rush_td,rush_fd,rush_att,rush_2pt,pts_std,pts_ppr,pts_half_ppr,pass_yd,pass_td,pass_int,pass_fd,pass_cmp,pass_att,pass_2pt,gp,fum_lost,cmp_pct,adp_std,adp_rookie,adp_ppr,adp_idp,adp_half_ppr,adp_dynasty_std,adp_dynasty_ppr,adp_dynasty_half_ppr,adp_dynasty_2qb,adp_dynasty,adp_2qb,player_id,first_name,last_name,injury_status
10.0,,1.0,3.0,,10.44,10.44,10.44,161.0,1.0,1.0,16.1,15.0,25.0,,18.0,,60.0,535.4,999.0,999.0,503.6,568.4,367.3,361.4,361.4,260.7,999.0,299.0,10217,Clayton,Tune,
,,,,,10.28,10.28,10.28,182.0,1.0,1.0,18.2,15.0,26.0,,18.0,,57.69,294.0,999.0,999.0,999.0,358.0,999.0,999.0,999.0,999.0,999.0,999.0,260,Josh,Johnson,
14.0,,1.4,3.0,,10.12,10.12,10.12,143.0,1.0,1.0,14.3,13.0,22.0,,18.0,,59.09,309.0,999.0,999.0,999.0,357.5,602.3,999.0,615.3,339.8,999.0,999.0,10233,Max,Duggan,
2.0,,0.2,2.0,,9.92,9.92,9.92,218.0,1.0,1.0,21.8,20.0,32.0,,18.0,1.0,62.5,999.0,999.0,999.0,999.0,308.0,999.0,440.1,999.0,999.0,999.0,999.0,24,Matt,Ryan,
16.0,,1.6,4.0,,9.72,9.72,9.72,128.0,1.0,1.0,12.8,12.0,20.0,,18.0,,60.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,6185,Easton,Stick,
14.0,,1.4,3.0,,7.44,7.44,7.44,126.0,1.0,1.0,12.6,11.0,18.0,,18.0,1.0,61.11,999.0,999.0,421.5,999.0,999.0,614.5,625.0,628.5,999.0,999.0,608.5,7583,Sam,Ehlinger,
21.0,,2.1,5.0,,6.02,6.02,6.02,98.0,,,9.8,9.0,15.0,,18.0,,60.0,999.0,999.0,999.0,999.0,999.0,589.7,587.3,600.7,999.0,999.0,999.0,4335,P.J.,Walker,
9.0,,0.9,2.0,,5.14,5.14,5.14,106.0,,,10.6,10.0,16.0,,18.0,,62.5,999.0,999.0,442.8,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,8158,Carson,Strong,
10.0,,1.0,2.0,,4.04,4.04,4.04,76.0,,,7.6,7.0,12.0,,18.0,,58.33,631.2,999.0,999.0,638.8,668.2,583.6,999.0,595.6,317.4,999.0,999.0,9231,Jaren,Hall,
2.0,,0.2,1.0,,3.2,3.2,3.2,75.0,,,7.5,7.0,11.0,,18.0,,63.64,615.5,999.0,999.0,613.6,651.5,545.6,999.0,555.6,299.1,999.0,999.0,10215,Jake,Haener,
5.0,,0.5,2.0,,2.7,2.7,2.7,55.0,,,5.5,5.0,8.0,,18.0,,62.5,590.0,999.0,999.0,999.0,626.0,999.0,556.4,999.0,416.4,999.0,999.0,8164,Matt,Corral,
,,,,,1.4,1.4,1.4,35.0,,,3.5,3.0,5.0,,18.0,,60.0,569.0,999.0,999.0,999.0,605.0,695.3,999.0,999.0,429.4,999.0,469.0,9230,Tanner,McKee,
