gsis_id,stats_id,injury_start_date,fantasy_data_id,swish_id,pandascore_id,injury_body_part,birth_city,first_name,age,last_name,active,team,yahoo_id,depth_chart_position,status,sportradar_id,injury_notes,player_id,fantasy_positions,rotoworld_id,search_rank,oddsjam_id,rotowire_id,full_name,position,espn_id,depth_chart_order
,,,,923495,,,,Josh,25,Sokol,TRUE,,,,Active,fc11de90-c957-11ec-b1d2-d334745b4f4f,,8533,,,9999999,,,Josh Sokol,C,,
00-0031550,,,16786,695206,,,,Shaq,30,Thompson,TRUE,CAR,28413,LILB,Active,3bf0711c-793a-47e7-bcbd-a0ddf350fef4,,2330,['LB'],10424,523,DFD1026D2F79,10034,Shaq Thompson,LB,2978313,1
,461900,,15281,,,,,Chris,31,Pantale,FALSE,,26991,,Inactive,614dd7ea-e1ac-4e3f-993b-39f2f62c7eeb,,1609,['TE'],,9999999,,8947,Chris Pantale,TE,16210,
00-0034725,843755,,20632,,,,,Ryan,25,Yurachek,TRUE,,31715,,Active,d8bc2cac-4537-4541-b9ea-a51bdd63e20c,,5718,['TE'],,9999999,,13203,Ryan Yurachek,TE,3139447,
,596437,,18743,,,,,David,28,Watford,TRUE,,30044,,Active,0f151d7d-c87e-4260-b5ab-f2596aa1ab06,,3916,['WR'],,9999999,,11653,David Watford,WR,2577807,
,,,21517,842372,,,,Terrell,26,Bonds,TRUE,,32381,,Active,7af54f9d-0a09-45ce-b96c-a179bcbb11ca,,6639,['DB'],,9999999,,14165,Terrell Bonds,CB,3147988,
,829985,,20120,,,,,Evan,26,Berry,TRUE,,31450,,Active,8f12880d-0375-4b70-836b-c1e88bcb3515,,5530,['WR'],,9999999,,13134,Evan Berry,WR,3115343,
,,,,1128933,,,,Taylor,23,Grimes,TRUE,,,,Active,d15667f0-f31f-11ed-857b-51f5bc78307f,,11445,['WR'],,9999999,,17590,Taylor Grimes,WR,,
,,,4517,,,,,Jay,39,Ratliff,FALSE,,7400,,Inactive,659e5aea-8030-42ab-a41c-fa07fcda8440,,174,['DL'],,9999999,,,Jay Ratliff,NT,8638,
00-0034654,749064,,20600,,,,,Dalyn,27,Dawkins,TRUE,,31620,,Active,12c39c1f-d579-4bd5-b736-62afd23b8208,,5619,['RB'],,1497,,13293,Dalyn Dawkins,RB,3052449,
00-0034414,749635,,20039,749635,,,,Boston,29,Scott,TRUE,,31171,,Active,768f6afa-ba24-40d9-bdc1-3184bba2ec2b,,5122,['RB'],13301,549,D3399A88060D,12996,Boston Scott,RB,3051439,
